id;title;description;equation;category_id
1;Industrial;connect Markets Chief;capacitor archive;1
2;sky blue Tasty Plastic Pizza;compress South Georgia and the South Sandwich Islands;compelling mission-critical;2
3;bifurcated scalable;Small;deliverables reinvent 24 hour;3
4;overriding;monitor 1080p Checking Account;world-class Frozen IB;4
5;Highway Ergonomic;moratorium moratorium;New York tangible Mississippi;5
6;Frozen bus;hard drive Robust Networked;Poland;6
7;Small partnerships;Outdoors;Harbor Montana;7
8;Corporate Phased relationships;white Brand Money Market Account;Salad Web virtual;8
9;Refined Squares;maroon;EXE projection Fresh;9
10;support Gorgeous;withdrawal;copying;10
