id;text;description;contact_type;main_page_id
1;Multi-channelled Licensed;grey Cambridgeshire;CONTACT;1
2;Table Small Frozen Sausages Planner;envisioneer Music Public-key;LINK;2
3;Investment Account;Games Regional Digitized;LINK;3
4;Mayotte;Industrial;CONTACT;4
5;capacitor archive;sky blue Tasty Plastic Pizza;LINK;5
6;compelling mission-critical;bifurcated scalable;CONTACT;6
7;deliverables reinvent 24 hour;overriding;LINK;7
8;world-class Frozen IB;Highway Ergonomic;LINK;8
9;New York tangible Mississippi;Frozen bus;LINK;9
10;Poland;Small partnerships;CONTACT;10
